d[3,6] = 2; PATH: 3-77-6
d[3,7] = 3; PATH: 3-64-7
d[3,8] = 2; PATH: 3-70-8
d[3,9] = 3; PATH: 3-67-51-9
d[3,10] = 2; PATH: 3-64-10
d[3,11] = 2; PATH: 3-90-11
d[3,12] = 3; PATH: 3-64-10-12
d[3,13] = 2; PATH: 3-13
d[3,14] = 3; PATH: 3-45-28-14
d[3,15] = 3; PATH: 3-45-15
d[3,16] = 2; PATH: 3-90-16
d[3,17] = 2; PATH: 3-70-17
d[3,18] = 2; PATH: 3-45-18
d[3,19] = 2; PATH: 3-77-19
d[3,20] = 2; PATH: 3-29-20
d[3,21] = 2; PATH: 3-70-21
d[3,22] = 2; PATH: 3-70-22
d[3,23] = 2; PATH: 3-67-23
d[3,24] = 3; PATH: 3-67-36-24
d[3,25] = 2; PATH: 3-67-25
d[3,26] = 2; PATH: 3-81-26
d[3,27] = 3; PATH: 3-45-68-27
d[3,28] = 2; PATH: 3-45-28
d[3,29] = 1; PATH: 3-29
d[3,30] = 3; PATH: 3-45-56-30
d[3,31] = 3; PATH: 3-29-31
d[3,32] = 3; PATH: 3-64-1-32
d[3,33] = 3; PATH: 3-29-20-33
d[3,34] = 3; PATH: 3-45-34
d[3,35] = 3; PATH: 3-13-35
d[3,36] = 2; PATH: 3-67-36
d[3,37] = 3; PATH: 3-29-20-37
d[3,38] = 2; PATH: 3-72-38
d[3,39] = 2; PATH: 3-45-39
d[3,40] = 3; PATH: 3-64-60-40
d[3,41] = 3; PATH: 3-45-18-41
d[3,42] = 3; PATH: 3-29-20-42
d[3,43] = 2; PATH: 3-81-43
d[3,44] = 2; PATH: 3-67-44
d[3,45] = 1; PATH: 3-45
d[3,46] = 2; PATH: 3-72-46
d[3,47] = 3; PATH: 3-45-39-47
d[3,48] = 3; PATH: 3-45-56-48
d[3,49] = 3; PATH: 3-45-18-49
d[3,50] = 2; PATH: 3-50
d[3,51] = 2; PATH: 3-67-51
d[3,52] = 3; PATH: 3-45-68-52
d[3,53] = 3; PATH: 3-13-53
d[3,54] = 2; PATH: 3-54
d[3,55] = 3; PATH: 3-45-55
d[3,56] = 2; PATH: 3-45-56
d[3,57] = 3; PATH: 3-81-78-57
d[3,58] = 2; PATH: 3-72-58
d[3,59] = 2; PATH: 3-81-59
d[3,60] = 2; PATH: 3-64-60
d[3,61] = 3; PATH: 3-72-61
d[3,62] = 2; PATH: 3-62
d[3,63] = 2; PATH: 3-67-63
d[3,64] = 1; PATH: 3-64
d[3,65] = 2; PATH: 3-29-65
d[3,66] = 3; PATH: 3-66
d[3,67] = 1; PATH: 3-67
d[3,68] = 2; PATH: 3-45-68
d[3,69] = 2; PATH: 3-72-69
d[3,70] = 1; PATH: 3-70
d[3,71] = 3; PATH: 3-64-71
d[3,72] = 1; PATH: 3-72
d[3,73] = 3; PATH: 3-70-73
d[3,74] = 3; PATH: 3-64-1-74
d[3,75] = 2; PATH: 3-70-75
d[3,76] = 2; PATH: 3-81-76
d[3,77] = 1; PATH: 3-77
d[3,78] = 2; PATH: 3-81-78
d[3,79] = 2; PATH: 3-45-79
d[3,80] = 2; PATH: 3-29-80
d[3,81] = 1; PATH: 3-81
d[3,82] = 2; PATH: 3-70-82
d[3,83] = 2; PATH: 3-70-83
d[3,84] = 3; PATH: 3-45-28-84
d[3,85] = 2; PATH: 3-64-85
d[3,86] = 2; PATH: 3-86
d[3,87] = 3; PATH: 3-67-36-87
d[3,88] = 3; PATH: 3-88
d[3,89] = 3; PATH: 3-64-89
d[3,90] = 1; PATH: 3-90
d[3,91] = 2; PATH: 3-29-91
d[3,92] = 3; PATH: 3-29-92
d[3,93] = 3; PATH: 3-81-93
d[3,94] = 3; PATH: 3-45-18-94
d[3,95] = 2; PATH: 3-95
d[3,96] = 3; PATH: 3-45-39-96
d[3,97] = 3; PATH: 3-50-97
d[3,98] = 2; PATH: 3-72-98
d[3,99] = 2; PATH: 3-64-99
d[3,100] = 3; PATH: 3-100
d[4,1] = 1; PATH: 4-1
d[4,2] = 3; PATH: 4-1-2
d[4,3] = 2; PATH: 4-3
d[4,5] = 2; PATH: 4-40-5
d[4,6] = 2; PATH: 4-40-6
d[4,7] = 2; PATH: 4-7
d[4,8] = 3; PATH: 4-64-60-8
d[4,9] = 2; PATH: 4-51-9
d[4,10] = 2; PATH: 4-64-10
d[4,11] = 3; PATH: 4-1-32-11
d[4,12] = 3; PATH: 4-64-10-12
d[4,13] = 3; PATH: 4-69-61-13
d[4,14] = 3; PATH: 4-1-14
d[4,15] = 3; PATH: 4-7-15
d[4,16] = 3; PATH: 4-16
d[4,17] = 3; PATH: 4-1-17
d[4,18] = 2; PATH: 4-51-18
d[4,19] = 2; PATH: 4-51-19
d[4,20] = 2; PATH: 4-51-20
d[4,21] = 2; PATH: 4-51-21
d[4,22] = 2; PATH: 4-1-22
d[4,23] = 2; PATH: 4-51-23
d[4,24] = 2; PATH: 4-40-24
d[4,25] = 2; PATH: 4-39-25
d[4,26] = 3; PATH: 4-40-6-26
d[4,27] = 3; PATH: 4-1-32-27
d[4,28] = 3; PATH: 4-1-22-28
d[4,29] = 3; PATH: 4-3-29
d[4,30] = 3; PATH: 4-7-30
d[4,31] = 3; PATH: 4-1-22-31
d[4,32] = 2; PATH: 4-1-32
d[4,33] = 3; PATH: 4-7-33
d[4,34] = 3; PATH: 4-34
d[4,35] = 3; PATH: 4-1-22-35
d[4,36] = 3; PATH: 4-73-67-36
d[4,37] = 2; PATH: 4-51-37
d[4,38] = 3; PATH: 4-7-38
d[4,39] = 1; PATH: 4-39
d[4,40] = 1; PATH: 4-40
d[4,41] = 3; PATH: 4-41
d[4,42] = 3; PATH: 4-40-5-42
d[4,43] = 3; PATH: 4-1-32-43
d[4,44] = 3; PATH: 4-44
d[4,45] = 3; PATH: 4-3-45
d[4,46] = 2; PATH: 4-46
d[4,47] = 2; PATH: 4-39-47
d[4,48] = 3; PATH: 4-48
d[4,49] = 3; PATH: 4-51-18-49
d[4,50] = 3; PATH: 4-1-32-50
d[4,51] = 1; PATH: 4-51
d[4,52] = 2; PATH: 4-69-52
d[4,53] = 3; PATH: 4-51-23-53
d[4,54] = 2; PATH: 4-69-54
d[4,55] = 3; PATH: 4-39-55
d[4,56] = 3; PATH: 4-7-56
d[4,57] = 2; PATH: 4-57
d[4,58] = 2; PATH: 4-73-58
