d[2,43] = 1; PATH: 2-43
d[2,44] = 2; PATH: 2-121-44
d[2,45] = 2; PATH: 2-79-45
d[2,46] = 2; PATH: 2-190-46
d[2,47] = 2; PATH: 2-124-47
d[2,48] = 2; PATH: 2-121-48
d[2,49] = 3; PATH: 2-6-49
d[2,50] = 2; PATH: 2-189-50
d[2,51] = 2; PATH: 2-9-51
d[2,52] = 2; PATH: 2-34-52
d[2,53] = 2; PATH: 2-37-53
d[2,54] = 3; PATH: 2-6-54
d[2,55] = 3; PATH: 2-37-55
d[2,56] = 2; PATH: 2-183-56
d[2,57] = 1; PATH: 2-57
d[2,58] = 2; PATH: 2-73-58
d[2,59] = 3; PATH: 2-81-59
d[2,60] = 3; PATH: 2-6-60
d[2,61] = 2; PATH: 2-79-61
d[2,62] = 2; PATH: 2-34-62
d[2,63] = 3; PATH: 2-37-30-63
d[2,64] = 2; PATH: 2-43-64
d[2,65] = 2; PATH: 2-121-65
d[2,66] = 3; PATH: 2-34-66
d[2,67] = 2; PATH: 2-73-67
d[2,68] = 2; PATH: 2-87-68
d[2,69] = 3; PATH: 2-41-69
d[2,70] = 2; PATH: 2-70
d[2,71] = 3; PATH: 2-37-24-71
d[2,72] = 3; PATH: 2-43-72
d[2,73] = 1; PATH: 2-73
d[2,74] = 2; PATH: 2-73-74
d[2,75] = 3; PATH: 2-34-75
d[2,76] = 2; PATH: 2-57-76
d[2,77] = 2; PATH: 2-135-77
d[2,78] = 2; PATH: 2-124-78
d[2,79] = 1; PATH: 2-79
d[2,80] = 2; PATH: 2-73-80
d[2,81] = 2; PATH: 2-81
d[2,82] = 2; PATH: 2-79-82
d[2,83] = 2; PATH: 2-73-83
d[2,84] = 2; PATH: 2-9-84
d[2,85] = 2; PATH: 2-121-85
d[2,86] = 2; PATH: 2-37-86
d[2,87] = 1; PATH: 2-87
d[2,88] = 2; PATH: 2-88
d[2,89] = 2; PATH: 2-43-89
d[2,90] = 2; PATH: 2-37-90
d[2,91] = 3; PATH: 2-9-5-91
d[2,92] = 2; PATH: 2-121-92
d[2,93] = 2; PATH: 2-87-93
d[2,94] = 2; PATH: 2-43-94
d[2,95] = 2; PATH: 2-189-95
d[2,96] = 2; PATH: 2-73-96
d[2,97] = 2; PATH: 2-79-97
d[2,98] = 2; PATH: 2-57-98
d[2,99] = 3; PATH: 2-43-11-99
d[2,100] = 2; PATH: 2-100
d[2,101] = 3; PATH: 2-37-101
d[2,102] = 2; PATH: 2-79-102
d[2,103] = 2; PATH: 2-103
d[2,104] = 2; PATH: 2-57-104
d[2,105] = 2; PATH: 2-189-105
d[2,106] = 2; PATH: 2-106
d[2,107] = 2; PATH: 2-87-107
d[2,108] = 2; PATH: 2-73-108
d[2,109] = 3; PATH: 2-9-38-109
d[2,110] = 2; PATH: 2-190-110
d[2,111] = 2; PATH: 2-195-111
d[2,112] = 3; PATH: 2-9-38-112
d[2,113] = 2; PATH: 2-37-113
d[2,114] = 3; PATH: 2-6-114
d[2,115] = 2; PATH: 2-34-115
d[2,116] = 2; PATH: 2-135-116
d[2,117] = 2; PATH: 2-135-117
d[2,118] = 1; PATH: 2-118
d[2,119] = 2; PATH: 2-43-119
d[2,120] = 2; PATH: 2-57-120
d[2,121] = 1; PATH: 2-121
d[2,122] = 2; PATH: 2-121-122
d[2,123] = 2; PATH: 2-87-123
d[2,124] = 1; PATH: 2-124
d[2,125] = 2; PATH: 2-118-125
d[2,126] = 2; PATH: 2-43-126
d[2,127] = 2; PATH: 2-37-127
d[2,128] = 2; PATH: 2-57-128
d[2,129] = 2; PATH: 2-189-129
d[2,130] = 2; PATH: 2-73-130
d[2,131] = 3; PATH: 2-9-5-131
d[2,132] = 2; PATH: 2-121-132
d[2,133] = 2; PATH: 2-133
d[2,134] = 3; PATH: 2-37-134
d[2,135] = 1; PATH: 2-135
d[2,136] = 3; PATH: 2-43-136
d[2,137] = 3; PATH: 2-37-24-137
d[2,138] = 2; PATH: 2-138
d[2,139] = 2; PATH: 2-37-139
d[2,140] = 2; PATH: 2-140
d[2,141] = 2; PATH: 2-141
d[2,142] = 3; PATH: 2-9-38-142
d[2,143] = 2; PATH: 2-143
d[2,144] = 3; PATH: 2-73-80-144
d[2,145] = 2; PATH: 2-118-145
d[2,146] = 2; PATH: 2-146
d[2,147] = 2; PATH: 2-87-147
d[2,148] = 3; PATH: 2-9-38-148
d[2,149] = 2; PATH: 2-87-149
d[2,150] = 3; PATH: 2-35-150
d[2,151] = 2; PATH: 2-43-151
d[2,152] = 2; PATH: 2-195-152
d[2,153] = 3; PATH: 2-26-153
d[2,154] = 2; PATH: 2-9-154
d[2,155] = 2; PATH: 2-34-155
d[2,156] = 3; PATH: 2-156
d[2,157] = 2; PATH: 2-37-157
d[2,158] = 2; PATH: 2-34-158
d[2,159] = 3; PATH: 2-43-159
d[2,160] = 3; PATH: 2-9-17-160
d[2,161] = 3; PATH: 2-6-161
d[2,162] = 2; PATH: 2-135-162
d[2,163] = 2; PATH: 2-79-163
d[2,164] = 2; PATH: 2-43-164
d[2,165] = 2; PATH: 2-73-165
d[2,166] = 2; PATH: 2-43-166
d[2,167] = 3; PATH: 2-9-167
d[2,168] = 2; PATH: 2-79-168
d[2,169] = 3; PATH: 2-9-17-169
d[2,170] = 2; PATH: 2-121-170
d[2,171] = 2; PATH: 2-87-171
d[2,172] = 3; PATH: 2-9-17-172
d[2,173] = 2; PATH: 2-118-173
d[2,174] = 2; PATH: 2-87-174
d[2,175] = 2; PATH: 2-175
d[2,176] = 2; PATH: 2-73-176
d[2,177] = 2; PATH: 2-177
d[2,178] = 2; PATH: 2-73-178
d[2,179] = 2; PATH: 2-87-179
d[2,180] = 2; PATH: 2-79-180
d[2,181] = 2; PATH: 2-124-181
d[2,182] = 3; PATH: 2-182
d[2,183] = 1; PATH: 2-183
d[2,184] = 2; PATH: 2-9-184
d[2,185] = 2; PATH: 2-87-185
d[2,186] = 2; PATH: 2-57-186
d[2,187] = 2; PATH: 2-79-187
d[2,188] = 2; PATH: 2-34-188
d[2,189] = 1; PATH: 2-189
d[2,190] = 1; PATH: 2-190
d[2,191] = 2; PATH: 2-57-191
d[2,192] = 2; PATH: 2-57-192
d[2,193] = 2; PATH: 2-43-193
d[2,194] = 2; PATH: 2-135-194
d[2,195] = 1; PATH: 2-195
d[2,196] = 2; PATH: 2-34-196
d[2,197] = 2; PATH: 2-57-197
d[2,198] = 2; PATH: 2-34-198
d[2,199] = 2; PATH: 2-190-199
d[2,200] = 2; PATH: 2-200
d[3,1] = 2; PATH: 3-90-1
d[3,2] = 2; PATH: 3-107-2
d[3,4] = 3; PATH: 3-54-58-4
d[3,5] = 2; PATH: 3-64-5
d[3,6] = 1; PATH: 3-6
d[3,7] = 3; PATH: 3-65-7
d[3,8] = 2; PATH: 3-64-8
d[3,9] = 2; PATH: 3-93-9
d[3,10] = 2; PATH: 3-43-10
d[3,11] = 2; PATH: 3-11
d[3,12] = 3; PATH: 3-11-12
d[3,13] = 2; PATH: 3-64-13
d[3,14] = 2; PATH: 3-6-14
d[3,15] = 1; PATH: 3-15
d[3,16] = 3; PATH: 3-6-14-16
d[3,17] = 2; PATH: 3-15-17
d[3,18] = 2; PATH: 3-90-18
d[3,19] = 3; PATH: 3-65-50-19
d[3,20] = 2; PATH: 3-15-20
d[3,21] = 3; PATH: 3-43-21
d[3,22] = 2; PATH: 3-22
d[3,23] = 2; PATH: 3-64-23
d[3,24] = 2; PATH: 3-141-24
d[3,25] = 2; PATH: 3-6-25
d[3,26] = 2; PATH: 3-6-26
d[3,27] = 2; PATH: 3-139-27
d[3,28] = 2; PATH: 3-15-28
d[3,29] = 3; PATH: 3-43-10-29
d[3,30] = 3; PATH: 3-15-28-30
d[3,31] = 2; PATH: 3-54-31
d[3,32] = 2; PATH: 3-54-32
d[3,33] = 2; PATH: 3-64-33
d[3,34] = 3; PATH: 3-6-34
d[3,35] = 2; PATH: 3-43-35
d[3,36] = 2; PATH: 3-90-36
d[3,37] = 2; PATH: 3-37
d[3,38] = 2; PATH: 3-54-38
d[3,39] = 3; PATH: 3-64-8-39
d[3,40] = 3; PATH: 3-15-53-40
d[3,41] = 2; PATH: 3-139-41
d[3,42] = 2; PATH: 3-6-42
d[3,43] = 1; PATH: 3-43
d[3,44] = 2; PATH: 3-121-44
d[3,45] = 2; PATH: 3-92-45
d[3,46] = 2; PATH: 3-65-46
d[3,47] = 3; PATH: 3-11-47
d[3,48] = 2; PATH: 3-121-48
d[3,49] = 2; PATH: 3-6-49
d[3,50] = 2; PATH: 3-65-50
d[3,51] = 2; PATH: 3-54-51
d[3,52] = 3; PATH: 3-54-51-52
d[3,53] = 2; PATH: 3-15-53
d[3,54] = 1; PATH: 3-54
d[3,55] = 2; PATH: 3-139-55
d[3,56] = 2; PATH: 3-56
d[3,57] = 2; PATH: 3-171-57
d[3,58] = 2; PATH: 3-54-58
d[3,59] = 3; PATH: 3-59
d[3,60] = 2; PATH: 3-6-60
d[3,61] = 2; PATH: 3-121-61
d[3,62] = 2; PATH: 3-65-62
d[3,63] = 3; PATH: 3-15-53-63
d[3,64] = 1; PATH: 3-64
d[3,65] = 1; PATH: 3-65
d[3,66] = 2; PATH: 3-64-66
d[3,67] = 2; PATH: 3-15-67
d[3,68] = 3; PATH: 3-6-60-68
d[3,69] = 2; PATH: 3-141-69
d[3,70] = 2; PATH: 3-93-70
d[3,71] = 3; PATH: 3-71
d[3,72] = 3; PATH: 3-43-72
d[3,73] = 2; PATH: 3-73
d[3,74] = 2; PATH: 3-92-74
d[3,75] = 3; PATH: 3-75
d[3,76] = 3; PATH: 3-43-10-76
d[3,77] = 2; PATH: 3-15-77
d[3,78] = 2; PATH: 3-54-78
d[3,79] = 2; PATH: 3-43-79
d[3,80] = 2; PATH: 3-80
d[3,81] = 3; PATH: 3-6-26-81
d[3,82] = 2; PATH: 3-141-82
d[3,83] = 2; PATH: 3-121-83
d[3,84] = 2; PATH: 3-171-84
d[3,85] = 2; PATH: 3-65-85
d[3,86] = 2; PATH: 3-92-86
d[3,87] = 2; PATH: 3-92-87
d[3,88] = 3; PATH: 3-11-88
d[3,89] = 2; PATH: 3-89
d[3,90] = 1; PATH: 3-90
d[3,91] = 2; PATH: 3-90-91
d[3,92] = 1; PATH: 3-92
d[3,93] = 1; PATH: 3-93
d[3,94] = 2; PATH: 3-43-94
d[3,95] = 2; PATH: 3-141-95
d[3,96] = 2; PATH: 3-96
d[3,97] = 2; PATH: 3-6-97
d[3,98] = 2; PATH: 3-171-98
d[3,99] = 2; PATH: 3-160-99
d[3,100] = 2; PATH: 3-15-100
d[3,101] = 2; PATH: 3-139-101
d[3,102] = 2; PATH: 3-171-102
d[3,103] = 2; PATH: 3-92-103
d[3,104] = 2; PATH: 3-6-104
d[3,105] = 3; PATH: 3-105
d[3,106] = 2; PATH: 3-160-106
d[3,107] = 1; PATH: 3-107
d[3,108] = 2; PATH: 3-171-108
d[3,109] = 2; PATH: 3-15-109
d[3,110] = 2; PATH: 3-6-110
d[3,111] = 2; PATH: 3-65-111
d[3,112] = 2; PATH: 3-64-112
d[3,113] = 2; PATH: 3-92-113
d[3,114] = 2; PATH: 3-6-114
d[3,115] = 3; PATH: 3-6-115
d[3,116] = 2; PATH: 3-171-116
d[3,117] = 3; PATH: 3-15-117
d[3,118] = 2; PATH: 3-6-118
d[3,119] = 2; PATH: 3-43-119
d[3,120] = 2; PATH: 3-54-120
d[3,121] = 1; PATH: 3-121
d[3,122] = 2; PATH: 3-90-122
d[3,123] = 2; PATH: 3-90-123
d[3,124] = 3; PATH: 3-6-42-124
d[3,125] = 2; PATH: 3-141-125
d[3,126] = 2; PATH: 3-126
d[3,127] = 1; PATH: 3-127
d[3,128] = 2; PATH: 3-92-128
d[3,129] = 2; PATH: 3-127-129
d[3,130] = 2; PATH: 3-130
d[3,131] = 3; PATH: 3-64-5-131
d[3,132] = 2; PATH: 3-121-132
d[3,133] = 2; PATH: 3-121-133
d[3,134] = 2; PATH: 3-54-134
d[3,135] = 3; PATH: 3-6-42-135
d[3,136] = 2; PATH: 3-93-136
d[3,137] = 3; PATH: 3-137
d[3,138] = 3; PATH: 3-64-8-138
d[3,139] = 1; PATH: 3-139
d[3,140] = 3; PATH: 3-11-140
d[3,141] = 1; PATH: 3-141
d[3,142] = 2; PATH: 3-15-142
d[3,143] = 2; PATH: 3-121-143
d[3,144] = 3; PATH: 3-54-31-144
d[3,145] = 3; PATH: 3-11-145
d[3,146] = 2; PATH: 3-121-146
d[3,147] = 2; PATH: 3-121-147
d[3,148] = 2; PATH: 3-148
d[3,149] = 3; PATH: 3-6-49-149
d[3,150] = 2; PATH: 3-150
d[3,151] = 2; PATH: 3-43-151
d[3,152] = 2; PATH: 3-65-152
d[3,153] = 2; PATH: 3-65-153
d[3,154] = 2; PATH: 3-160-154
d[3,155] = 2; PATH: 3-107-155
d[3,156] = 3; PATH: 3-56-156
d[3,157] = 2; PATH: 3-127-157
d[3,158] = 2; PATH: 3-6-158
d[3,159] = 2; PATH: 3-92-159
d[3,160] = 1; PATH: 3-160
d[3,161] = 1; PATH: 3-161
d[3,162] = 2; PATH: 3-6-162
d[3,163] = 2; PATH: 3-163
d[3,164] = 2; PATH: 3-43-164
d[3,165] = 2; PATH: 3-65-165
d[3,166] = 2; PATH: 3-43-166
d[3,167] = 3; PATH: 3-54-32-167
d[3,168] = 2; PATH: 3-168
d[3,169] = 2; PATH: 3-54-169
d[3,170] = 2; PATH: 3-121-170
d[3,171] = 1; PATH: 3-171
d[3,172] = 2; PATH: 3-93-172
d[3,173] = 2; PATH: 3-173
d[3,174] = 2; PATH: 3-65-174
d[3,175] = 2; PATH: 3-121-175
d[3,176] = 2; PATH: 3-54-176
d[3,177] = 2; PATH: 3-43-177
d[3,178] = 2; PATH: 3-15-178
d[3,179] = 2; PATH: 3-107-179
d[3,180] = 2; PATH: 3-64-180
d[3,181] = 2; PATH: 3-139-181
d[3,182] = 3; PATH: 3-54-51-182
d[3,183] = 2; PATH: 3-183
d[3,184] = 2; PATH: 3-127-184
d[3,185] = 2; PATH: 3-185
d[3,186] = 2; PATH: 3-15-186
d[3,187] = 2; PATH: 3-161-187
d[3,188] = 2; PATH: 3-141-188
d[3,189] = 2; PATH: 3-121-189
d[3,190] = 3; PATH: 3-15-17-190
d[3,191] = 3; PATH: 3-6-25-191
d[3,192] = 2; PATH: 3-92-192
d[3,193] = 2; PATH: 3-193
d[3,194] = 2; PATH: 3-90-194
d[3,195] = 3; PATH: 3-6-195
d[3,196] = 3; PATH: 3-6-196
d[3,197] = 3; PATH: 3-15-20-197
d[3,198] = 3; PATH: 3-64-8-198
d[3,199] = 2; PATH: 3-161-199
d[3,200] = 2; PATH: 3-200
d[4,1] = 2; PATH: 4-90-1
d[4,2] = 2; PATH: 4-37-2
d[4,3] = 3; PATH: 4-84-41-3
d[4,5] = 2; PATH: 4-5
d[4,6] = 2; PATH: 4-146-6
d[4,7] = 2; PATH: 4-91-7
d[4,8] = 2; PATH: 4-91-8
d[4,9] = 2; PATH: 4-76-9
d[4,10] = 2; PATH: 4-21-10
d[4,11] = 2; PATH: 4-39-11
d[4,12] = 2; PATH: 4-21-12
d[4,13] = 3; PATH: 4-37-24-13
d[4,14] = 2; PATH: 4-90-14
d[4,15] = 1; PATH: 4-15
d[4,16] = 2; PATH: 4-16
d[4,17] = 2; PATH: 4-15-17
d[4,18] = 2; PATH: 4-90-18
d[4,19] = 3; PATH: 4-76-50-19
d[4,20] = 2; PATH: 4-15-20
d[4,21] = 1; PATH: 4-21
d[4,22] = 2; PATH: 4-134-22
d[4,23] = 2; PATH: 4-90-23
d[4,24] = 2; PATH: 4-37-24
d[4,25] = 2; PATH: 4-30-25
d[4,26] = 2; PATH: 4-30-26
d[4,27] = 2; PATH: 4-84-27
d[4,28] = 2; PATH: 4-15-28
d[4,29] = 3; PATH: 4-29
d[4,30] = 1; PATH: 4-30
d[4,31] = 3; PATH: 4-30-63-31
d[4,32] = 2; PATH: 4-32
d[4,33] = 2; PATH: 4-37-33
d[4,34] = 2; PATH: 4-88-34
d[4,35] = 3; PATH: 4-37-35
d[4,36] = 2; PATH: 4-90-36
d[4,37] = 1; PATH: 4-37
d[4,38] = 2; PATH: 4-96-38
d[4,39] = 1; PATH: 4-39
d[4,40] = 2; PATH: 4-91-40
d[4,41] = 2; PATH: 4-84-41
d[4,42] = 2; PATH: 4-76-42
d[4,43] = 2; PATH: 4-84-43
d[4,44] = 3; PATH: 4-21-10-44
d[4,45] = 2; PATH: 4-76-45
